"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P30740",-0.88179041792581,25.277537654353,-8.57559998591233,8.40211287810561e-05,0.000375436183034339,1.67754123413875
"Q9H4M9;Q9NZN3",0.947937239872385,25.3016690726332,8.4200858088157,9.39129534701009e-05,0.000411542718297078,1.55360311478035
"Q8NG11",-1.51411788103294,24.0591172446772,-8.40525005788409,9.49240880736132e-05,0.000411542718297078,1.54167525249048
"P06744;CON__Q3ZBD7;Q8N196",-0.94839212410718,25.3041648958208,-8.39544511772524,9.55991583579614e-05,0.000411542718297078,1.53378205204108
"O00560",-1.01343853224907,26.5785377643496,-8.35804655838229,9.82247849089895e-05,0.000415094202115294,1.50360142996741
"P67809",1.01635589148596,23.1663493663379,8.35034054962124,9.8775957443866e-05,0.000415094202115294,1.49736808315438
"P05023;P13637;P50993;Q13733;P20648;P54707",0.890282980276272,27.4958749662837,8.31822792552631,0.000101111091853307,0.000418504059676405,1.4713384144537
"P46940",-0.887199912815486,26.1154623770329,-8.30678298180046,0.00010195849612513,0.000418504059676405,1.46204034300534
"P11233",1.37544515760148,26.2000988973618,8.26617941261695,0.000105030835943065,0.000426159598711519,1.42896344693151
"P23528",1.08753009426028,28.7843342370448,8.09910760939471,0.000118833503463603,0.000476684394575591,1.29136810352337
"P01889",1.82779942861585,25.2415246748218,7.98472793596702,0.000129475708581323,0.000513538484597832,1.19575704072611
"P08758",2.53548896358091,27.4653350432528,7.95851038241302,0.00013206548070912,0.000517990163225772,1.17367708176214
"P08134;P62745",1.27506274532785,26.046362047357,7.93762088273524,0.000134171215985786,0.000520466365307501,1.15604000703346
